,0
lat,float64
lon,float64
startdate,object
contest-pevpr-sfc-gauss-14d__pevpr,float64
nmme0-tmp2m-34w__cancm30,float64
nmme0-tmp2m-34w__cancm40,float64
nmme0-tmp2m-34w__ccsm30,float64
nmme0-tmp2m-34w__ccsm40,float64
nmme0-tmp2m-34w__cfsv20,float64
nmme0-tmp2m-34w__gfdlflora0,float64
nmme0-tmp2m-34w__gfdlflorb0,float64
nmme0-tmp2m-34w__gfdl0,float64
nmme0-tmp2m-34w__nasa0,float64
nmme0-tmp2m-34w__nmme0mean,float64
contest-wind-h10-14d__wind-hgt-10,float64
nmme-tmp2m-56w__cancm3,float64
nmme-tmp2m-56w__cancm4,float64
nmme-tmp2m-56w__ccsm3,float64
nmme-tmp2m-56w__ccsm4,float64
nmme-tmp2m-56w__cfsv2,float64
nmme-tmp2m-56w__gfdl,float64
nmme-tmp2m-56w__gfdlflora,float64
nmme-tmp2m-56w__gfdlflorb,float64
nmme-tmp2m-56w__nasa,float64
nmme-tmp2m-56w__nmmemean,float64
contest-rhum-sig995-14d__rhum,float64
nmme-prate-34w__cancm3,float64
nmme-prate-34w__cancm4,float64
nmme-prate-34w__ccsm3,float64
nmme-prate-34w__ccsm4,float64
nmme-prate-34w__cfsv2,float64
nmme-prate-34w__gfdl,float64
nmme-prate-34w__gfdlflora,float64
nmme-prate-34w__gfdlflorb,float64
nmme-prate-34w__nasa,float64
nmme-prate-34w__nmmemean,float64
contest-wind-h100-14d__wind-hgt-100,float64
nmme0-prate-56w__cancm30,float64
nmme0-prate-56w__cancm40,float64
nmme0-prate-56w__ccsm30,float64
nmme0-prate-56w__ccsm40,float64
nmme0-prate-56w__cfsv20,float64
nmme0-prate-56w__gfdlflora0,float64
nmme0-prate-56w__gfdlflorb0,float64
nmme0-prate-56w__gfdl0,float64
nmme0-prate-56w__nasa0,float64
nmme0-prate-56w__nmme0mean,float64
nmme0-prate-34w__cancm30,float64
nmme0-prate-34w__cancm40,float64
nmme0-prate-34w__ccsm30,float64
nmme0-prate-34w__ccsm40,float64
nmme0-prate-34w__cfsv20,float64
nmme0-prate-34w__gfdlflora0,float64
nmme0-prate-34w__gfdlflorb0,float64
nmme0-prate-34w__gfdl0,float64
nmme0-prate-34w__nasa0,float64
nmme0-prate-34w__nmme0mean,float64
contest-tmp2m-14d__tmp2m,float64
contest-slp-14d__slp,float64
contest-wind-vwnd-925-14d__wind-vwnd-925,float64
nmme-prate-56w__cancm3,float64
nmme-prate-56w__cancm4,float64
nmme-prate-56w__ccsm3,float64
nmme-prate-56w__ccsm4,float64
nmme-prate-56w__cfsv2,float64
nmme-prate-56w__gfdl,float64
nmme-prate-56w__gfdlflora,float64
nmme-prate-56w__gfdlflorb,float64
nmme-prate-56w__nasa,float64
nmme-prate-56w__nmmemean,float64
contest-pres-sfc-gauss-14d__pres,float64
contest-wind-uwnd-250-14d__wind-uwnd-250,float64
nmme-tmp2m-34w__cancm3,float64
nmme-tmp2m-34w__cancm4,float64
nmme-tmp2m-34w__ccsm3,float64
nmme-tmp2m-34w__ccsm4,float64
nmme-tmp2m-34w__cfsv2,float64
nmme-tmp2m-34w__gfdl,float64
nmme-tmp2m-34w__gfdlflora,float64
nmme-tmp2m-34w__gfdlflorb,float64
nmme-tmp2m-34w__nasa,float64
nmme-tmp2m-34w__nmmemean,float64
contest-prwtr-eatm-14d__prwtr,float64
contest-wind-vwnd-250-14d__wind-vwnd-250,float64
contest-precip-14d__precip,float64
contest-wind-h850-14d__wind-hgt-850,float64
contest-wind-uwnd-925-14d__wind-uwnd-925,float64
contest-wind-h500-14d__wind-hgt-500,float64
cancm30,float64
cancm40,float64
ccsm30,float64
ccsm40,float64
cfsv20,float64
gfdlflora0,float64
gfdlflorb0,float64
gfdl0,float64
nasa0,float64
nmme0mean,float64
climateregions__climateregion,object
elevation__elevation,float64
wind-vwnd-250-2010-1,float64
wind-vwnd-250-2010-2,float64
wind-vwnd-250-2010-3,float64
wind-vwnd-250-2010-4,float64
wind-vwnd-250-2010-5,float64
wind-vwnd-250-2010-6,float64
wind-vwnd-250-2010-7,float64
wind-vwnd-250-2010-8,float64
wind-vwnd-250-2010-9,float64
wind-vwnd-250-2010-10,float64
wind-vwnd-250-2010-11,float64
wind-vwnd-250-2010-12,float64
wind-vwnd-250-2010-13,float64
wind-vwnd-250-2010-14,float64
wind-vwnd-250-2010-15,float64
wind-vwnd-250-2010-16,float64
wind-vwnd-250-2010-17,float64
wind-vwnd-250-2010-18,float64
wind-vwnd-250-2010-19,float64
wind-vwnd-250-2010-20,float64
wind-uwnd-250-2010-1,float64
wind-uwnd-250-2010-2,float64
wind-uwnd-250-2010-3,float64
wind-uwnd-250-2010-4,float64
wind-uwnd-250-2010-5,float64
wind-uwnd-250-2010-6,float64
wind-uwnd-250-2010-7,float64
wind-uwnd-250-2010-8,float64
wind-uwnd-250-2010-9,float64
wind-uwnd-250-2010-10,float64
wind-uwnd-250-2010-11,float64
wind-uwnd-250-2010-12,float64
wind-uwnd-250-2010-13,float64
wind-uwnd-250-2010-14,float64
wind-uwnd-250-2010-15,float64
wind-uwnd-250-2010-16,float64
wind-uwnd-250-2010-17,float64
wind-uwnd-250-2010-18,float64
wind-uwnd-250-2010-19,float64
wind-uwnd-250-2010-20,float64
mjo1d__phase,int64
mjo1d__amplitude,float64
mei__mei,float64
mei__meirank,int64
mei__nip,int64
wind-hgt-850-2010-1,float64
wind-hgt-850-2010-2,float64
wind-hgt-850-2010-3,float64
wind-hgt-850-2010-4,float64
wind-hgt-850-2010-5,float64
wind-hgt-850-2010-6,float64
wind-hgt-850-2010-7,float64
wind-hgt-850-2010-8,float64
wind-hgt-850-2010-9,float64
wind-hgt-850-2010-10,float64
sst-2010-1,float64
sst-2010-2,float64
sst-2010-3,float64
sst-2010-4,float64
sst-2010-5,float64
sst-2010-6,float64
sst-2010-7,float64
sst-2010-8,float64
sst-2010-9,float64
sst-2010-10,float64
wind-hgt-500-2010-1,float64
wind-hgt-500-2010-2,float64
wind-hgt-500-2010-3,float64
wind-hgt-500-2010-4,float64
wind-hgt-500-2010-5,float64
wind-hgt-500-2010-6,float64
wind-hgt-500-2010-7,float64
wind-hgt-500-2010-8,float64
wind-hgt-500-2010-9,float64
wind-hgt-500-2010-10,float64
icec-2010-1,float64
icec-2010-2,float64
icec-2010-3,float64
icec-2010-4,float64
icec-2010-5,float64
icec-2010-6,float64
icec-2010-7,float64
icec-2010-8,float64
icec-2010-9,float64
icec-2010-10,float64
wind-uwnd-925-2010-1,float64
wind-uwnd-925-2010-2,float64
wind-uwnd-925-2010-3,float64
wind-uwnd-925-2010-4,float64
wind-uwnd-925-2010-5,float64
wind-uwnd-925-2010-6,float64
wind-uwnd-925-2010-7,float64
wind-uwnd-925-2010-8,float64
wind-uwnd-925-2010-9,float64
wind-uwnd-925-2010-10,float64
wind-uwnd-925-2010-11,float64
wind-uwnd-925-2010-12,float64
wind-uwnd-925-2010-13,float64
wind-uwnd-925-2010-14,float64
wind-uwnd-925-2010-15,float64
wind-uwnd-925-2010-16,float64
wind-uwnd-925-2010-17,float64
wind-uwnd-925-2010-18,float64
wind-uwnd-925-2010-19,float64
wind-uwnd-925-2010-20,float64
wind-hgt-10-2010-1,float64
wind-hgt-10-2010-2,float64
wind-hgt-10-2010-3,float64
wind-hgt-10-2010-4,float64
wind-hgt-10-2010-5,float64
wind-hgt-10-2010-6,float64
wind-hgt-10-2010-7,float64
wind-hgt-10-2010-8,float64
wind-hgt-10-2010-9,float64
wind-hgt-10-2010-10,float64
wind-hgt-100-2010-1,float64
wind-hgt-100-2010-2,float64
wind-hgt-100-2010-3,float64
wind-hgt-100-2010-4,float64
wind-hgt-100-2010-5,float64
wind-hgt-100-2010-6,float64
wind-hgt-100-2010-7,float64
wind-hgt-100-2010-8,float64
wind-hgt-100-2010-9,float64
wind-hgt-100-2010-10,float64
wind-vwnd-925-2010-1,float64
wind-vwnd-925-2010-2,float64
wind-vwnd-925-2010-3,float64
wind-vwnd-925-2010-4,float64
wind-vwnd-925-2010-5,float64
wind-vwnd-925-2010-6,float64
wind-vwnd-925-2010-7,float64
wind-vwnd-925-2010-8,float64
wind-vwnd-925-2010-9,float64
wind-vwnd-925-2010-10,float64
wind-vwnd-925-2010-11,float64
wind-vwnd-925-2010-12,float64
wind-vwnd-925-2010-13,float64
wind-vwnd-925-2010-14,float64
wind-vwnd-925-2010-15,float64
wind-vwnd-925-2010-16,float64
wind-vwnd-925-2010-17,float64
wind-vwnd-925-2010-18,float64
wind-vwnd-925-2010-19,float64
wind-vwnd-925-2010-20,float64
